,GPT3.5_k_4,GPT4_k_4,GPT4_k_8
0,4.857683897018433,14.231311798095703,12.837640047073364
1,2.789555072784424,15.619170904159546,13.024887084960938
2,6.937505006790161,20.03233003616333,21.241316080093384
3,10.189629077911377,11.87777590751648,25.886651039123535
4,2.1364850997924805,3.619417190551758,4.109956979751587
5,5.493464946746826,18.395708799362183,32.511504888534546
6,6.4992499351501465,14.746402740478516,15.044593334197998
7,2.7061986923217773,6.446583032608032,16.297763109207153
8,3.0313069820404053,11.553194046020508,14.522998094558716
9,1.6838040351867676,10.984215021133423,25.140910148620605
10,2.757028818130493,7.649513006210327,10.062264204025269
11,7.241507291793823,40.57961583137512,59.83639097213745
12,6.769711971282959,9.22512412071228,8.713590145111084
13,3.725010871887207,9.93945860862732,21.116881847381592
14,1.4434289932250977,13.2417631149292,17.697556018829346
15,3.143061876296997,7.481497049331665,11.82031798362732
16,2.098098039627075,7.213762044906616,12.963002920150757
17,5.6365063190460205,18.940805196762085,23.795144081115723
18,3.818420171737671,13.311481952667236,16.828973054885864
19,3.713587999343872,12.623573780059814,12.640177965164185
20,4.1838929653167725,21.955955982208252,23.261080265045166
21,2.6759049892425537,9.174085855484009,12.760179996490479
22,2.0427229404449463,13.504469871520996,11.743632793426514
23,3.177830696105957,10.48242712020874,12.236739158630371
24,4.801433086395264,11.631027936935425,11.210256099700928
25,8.53991985321045,18.96296501159668,11.844456911087036
26,1.3720080852508545,5.822417259216309,9.846326112747192
27,2.581634998321533,13.924635887145996,17.770390033721924
28,4.006021976470947,14.323222160339355,22.88264489173889
29,6.103981018066406,17.600584030151367,18.435056924819946
30,4.480431795120239,10.813453912734985,14.9771409034729
31,6.1788740158081055,14.739418029785156,27.204241037368774
32,8.55839991569519,15.923154354095459,25.254045009613037
33,6.595272064208984,9.438666820526123,16.179889917373657
34,6.28233790397644,11.125582933425903,14.538955926895142
35,6.4810380935668945,14.462980031967163,22.07716202735901
36,5.837407112121582,12.555569887161255,17.38757014274597
37,4.890516996383667,15.507256984710693,15.883400917053223
38,4.186586141586304,15.599212884902954,12.948458194732666
39,2.38546085357666,6.300807237625122,8.635374784469604
40,4.945130109786987,15.173686981201172,13.258370161056519
41,3.6274847984313965,11.026775121688843,11.801078796386719
42,6.113231182098389,13.88552713394165,116.1038908958435
43,5.456568002700806,12.293852806091309,10.936376094818115
44,6.04408597946167,13.900999069213867,20.392718076705933
45,4.77384614944458,14.41809606552124,11.27811598777771
46,7.718155860900879,22.570754051208496,34.19988393783569
47,4.186051845550537,9.07019305229187,10.02144718170166
48,5.950044870376587,10.075100898742676,7.233290910720825
49,6.055889129638672,20.14177370071411,27.366501092910767
50,5.5172951221466064,8.1830472946167,10.423290967941284
51,6.962207078933716,12.681571006774902,22.0153968334198
